TX_AMOUNT,IS_FRAUD,SENDER_INIT_BALANCE,RECEIVER_INIT_BALANCE,HOUR,DAY_OF_WEEK,AMOUNT_TO_SENDER_BALANCE_RATIO,SENDER_BALANCE_AFTER_TX
10.44,FALSE,146.19,365.58,23,2,0.070928732,135.75
9.79,FALSE,137.18,103.8,0,0,0.070849616,127.39
16.15,FALSE,129.25,430.72,10,0,0.123992322,113.1
147.6,FALSE,147.6,503.08,8,1,0.993270525,0
3.92,TRUE,114.47,566.32,5,2,0.033948212,110.55
112.73,FALSE,112.73,483.82,3,1,0.991207245,0
17108728,FALSE,375.81,354.54,20,3,45404.12409,-17108352.19
147.88,FALSE,147.88,318.66,23,6,0.993283181,0
203.75,FALSE,203.75,150.11,0,4,0.995115995,0
443.38,FALSE,443.38,388.15,18,6,0.997749674,0
426.42,FALSE,426.43,392.38,14,0,0.99763704,0.01
52050.63,FALSE,263.18,435.35,12,1,197.0271406,-51787.45
8.21,FALSE,164.25,561.52,9,6,0.0496823,156.04
5.67,FALSE,107.75,588.64,6,2,0.052137931,102.08
558.34,FALSE,558.35,359.02,8,6,0.998194333,0.01
195.64,FALSE,195.65,569.48,20,5,0.994863972,0.01
472.82,FALSE,472.83,195.84,5,0,0.997868434,0.01
11.78,FALSE,117.83,283.45,17,4,0.099133216,106.05
3.04,TRUE,357.25,502.02,9,2,0.008485694,354.21
517.44,FALSE,517.44,150.93,15,6,0.998071136,0
535.91,FALSE,535.92,144.41,4,3,0.9981189,0.01
12.16,FALSE,145.93,389.11,22,2,0.082760498,133.77
15.03,FALSE,120.25,317.48,6,5,0.123958763,105.22
11.83,FALSE,142.04,580.38,16,2,0.082704139,130.21
21.91,FALSE,175.32,172.34,9,2,0.124262704,153.41
169.0480118,FALSE,168.6575466,73.99706126,0,6,0.597596235,155.74
26,FALSE,156.03,207.84,1,5,0.165573457,130.03
462.04,FALSE,462.05,359.02,10,3,0.99781881,0.01
415.07,FALSE,415.07,415.54,22,1,0.997596558,0
33.29,FALSE,199.79,220.04,19,0,0.165795109,166.5
416.91,FALSE,416.91,497.86,7,0,0.99760714,0
277.7653616,FALSE,120.3228423,129.3545751,0,5,0.317691715,0.01
107.219408,FALSE,63.26680899,60.10512138,3,5,0.387336549,0.01
9.05,FALSE,199.22,259.24,7,1,0.04520028,190.17
16.7,TRUE,331.07,270.21,18,0,0.050290601,314.37
572.4,FALSE,572.41,217.26,12,6,0.998238608,0.01
507.14,FALSE,507.14,100.67,7,5,0.998032038,0
8.77,FALSE,184.2,406.31,1,1,0.047354212,175.43
556.89,FALSE,556.89,185.03,19,2,0.998207532,0
186.78,FALSE,186.79,241.73,14,0,0.994621652,0.01
521,FALSE,521,369.9,6,2,0.998084291,0
192,FALSE,192,205.71,13,6,0.994818653,0
9.104726595,TRUE,1077.024077,828.4787488,11,0,0.017169772,219.11
18.53,FALSE,111.24,178.78,3,2,0.165092659,92.71
159.44,FALSE,159.45,148.63,0,4,0.993705204,0.01
555.9,FALSE,555.9,500.47,16,4,0.998204345,0
505.64,FALSE,505.65,516.82,17,3,0.998006513,0.01
18.98,TRUE,516.82,312.58,22,6,0.036653663,497.84
141.92,FALSE,141.93,187.66,11,5,0.992933604,0.01
21.09,FALSE,189.81,354.55,9,0,0.110528798,168.72
14.22,FALSE,113.79,161.38,0,5,0.123878387,99.57
164.69,FALSE,164.69,250.49,11,2,0.993964633,0
183.964979,FALSE,59.61268496,63.58222434,22,6,0.560218737,113.35
7.53,FALSE,105.5,421.07,5,6,0.070704225,97.97
11.57,FALSE,104.16,197.79,6,2,0.110022822,92.59
545.55,FALSE,545.56,173.17,15,3,0.998152078,0.01
141.14,FALSE,141.15,198.42,12,6,0.992894829,0.01
508.45,FALSE,508.45,220.22,1,4,0.998037099,0
180.3,FALSE,180.31,332.31,4,4,0.99442943,0.01
102.02,FALSE,102.03,211.04,13,6,0.99019703,0.01
537.92,FALSE,537.93,146.5,1,5,0.998125916,0.01
17.4,FALSE,156.6,539.58,15,5,0.110406091,139.2
31.99,FALSE,191.96,285.54,8,6,0.165785655,159.97
165.2087761,FALSE,142.8264376,118.5861807,2,6,0.534755036,0
137.33,FALSE,137.34,216.76,11,5,0.992699147,0.01
565.19,FALSE,565.19,469.23,0,0,0.998233808,0
6165891,FALSE,388.53,153.51,23,6,15829.05296,-6165502.47
163.99,FALSE,163.99,385.3,18,1,0.993939027,0
5.88,FALSE,117.63,241.03,3,0,0.049565877,111.75
16.98,FALSE,118.92,128.66,3,2,0.141594396,101.94
5.93,FALSE,118.71,392.05,17,1,0.04953638,112.78
11667.86,FALSE,379.64,330.99,4,0,30.65326818,-11288.22
5.25,FALSE,115.52,496.2,22,6,0.045056643,110.27
432.05,FALSE,432.06,545.56,7,3,0.99766776,0.01
289.98,FALSE,289.99,355.88,22,5,0.99652909,0.01
503.22,FALSE,503.22,121.4,2,2,0.998016739,0
190.4607185,FALSE,74.27625693,139.8482954,4,6,0.446322805,0
193.69,FALSE,193.69,263.35,23,5,0.994863629,0
468.19,FALSE,468.19,111.27,23,3,0.997868667,0
172.08,FALSE,172.09,109.29,9,0,0.994164885,0.01
3.51,TRUE,137.3,344.02,21,4,0.02537961,133.79
104.93,FALSE,104.93,466.57,22,4,0.990559804,0
181.0559168,FALSE,85.14793532,105.9486559,1,6,0.507724218,0.01
202.2994412,FALSE,113.848287,59.41008696,23,6,0.526832361,0.01
6234.91,FALSE,278.2,294.54,21,0,22.33133954,-5956.71
146.19,FALSE,146.19,251.85,19,4,0.99320606,0
186.19,FALSE,186.19,173.12,1,1,0.994657834,0
